	name	query	labels	address	postal no.	postal name	coord. x	coord. y
6634	P P Restaurant ApS	Restaurant	['Restaurant']	Landskronagade 27, st. sal.	2100	København Ø	12.5732899	55.7130852
6635	Hønen & Ægget	Restaurant	['Café', 'Restaurant']	Guldbergsgade 16, 2. sal. tv	2200	København N	12.5584068	55.6916122
6636	Amager Deli ApS	Restaurant	['Restaurant']	Øresundsvej 14	2300	København S	12.6098919	55.6589813
6637	Konrad ApS	Restaurant	['Restaurant']	Studiestræde 14	1455	København K	12.5698376	55.6788254
6638	Café Blå	Restaurant	['Restaurant']	Blågårdsgade 17, st. sal. 1	2200	København N	12.5587835	55.6867523
6639	Madhus 24	Restaurant	['Take away', 'Restaurant']	Søborg Hovedgade 24	2870	Dyssegård	12.5219154	55.7302856
6640	S.C.D. ApS	Restaurant	['Restaurant', 'Virksomhedsrådgivere']	Klosterrisvej 3, st. sal. th	2100	København Ø	12.5544176	55.7194672
6641	G22 ApS	Restaurant	['Café', 'Barer, cocktailbarer', 'Restaurant']	Guldbergsgade 8	2200	København N	12.5592861	55.6912460
6642	Nordgaard	Restaurant	['Restaurant', 'Fødevareproducenter']	Oddenvej 298	4583	Sjællands Odde	11.3676205	55.9673729
6643	Papirgrossisten ApS	Restaurant	['Råvarer, halvfabrikata - Engros', 'Restaurant', 'Pizzeriaer, grillbarer, isbarer mv. - (M)']	Randersgade 18, 2. sal. th	2100	København Ø	12.5814819	55.7042656
6644	Susu 2016 ApS	Restaurant	['Restaurant']	Møllegade 13, st. sal. th	2200	København N	12.5561428	55.6910782
6645	Maui Fisketorvet ApS	Restaurant	['Restaurant']	Amagerbrogade 32	2300	København S	12.6001415	55.6644592
6646	Madklubben Frederiksberg ApS	Restaurant	['Restaurant']	Solbjergvej 6	2000	Frederiksberg	12.5319281	55.6810646
6647	Jagger Copenhagen ApS - Amagerbrogade	Restaurant	['Fastfood-spisesteder', 'Restaurant']	Amagerbrogade 128, st. sal. th	2300	København S	12.6081085	55.6576691
6648	Milano Pizza Valby ApS	Restaurant	['Restaurant']	Frugthaven 14	2500	Valby	12.5007935	55.6507378
6649	Jacobsens Holding ApS	Restaurant	['Restaurant']	Esplanaden 24, 1. sal. tv	1263	København K	12.5935202	55.6875763
6650	Toast Time ApS	Restaurant	['Restaurant']	Syrenkæden 14	2670	Greve	12.3111324	55.6022339
6651	Kuddus ApS	Restaurant	['Restaurant']	Brunellevej 28	2630	Taastrup	12.2432079	55.6502724
6652	Sanban ApS	Restaurant	['Restaurant']	Slagelsevej 8	4700	Næstved	11.7528505	55.2301865
6653	Thaipan Anno 2017 ApS	Restaurant	['Thailandske restauranter', 'Thai takeaway', 'Restaurant']	Guldbergsgade 7A	2200	København N	12.5593653	55.6909485
6654	Flise Xperten ApS	Restaurant	['Murer', 'Pizzeriaer, grillbarer, isbarer mv. - (M)', 'Restaurant']	Højbjergparken 42	4220	Korsør	11.1408939	55.3613968
6655	Gh Data ApS	Restaurant	['Restaurant']	Kastrupvej 116A, st. sal.	2300	København S	12.6206923	55.6502380
6656	Restaurant Safari ApS	Restaurant	['Restaurant']	Baggesensgade 9	2200	København N	12.5599308	55.6868362
6657	Restaurant Skindbuksen	Restaurant	['Restaurant']	Lille Kongensgade 4, kl. sal.	1074	København K	12.5845261	55.6797409
6658	Orientens Madhus ApS	Restaurant	['Restaurant']	Præstemosevej 9	3480	Fredensborg	12.4026651	55.9658585
6659	Dharma ApS	Restaurant	['Restaurant']	Tømmerupvej 75	2770	Kastrup	12.6154852	55.6092720
6660	Perssons Mat & Musik ApS	Restaurant	['Restaurant']	H.C. Ørsteds Vej 11B, st. sal. th	1879	Frederiksberg C	12.5461655	55.6771812
6661	St Wine & Spirits ApS	Restaurant	['Drikkevarer - Detail', 'Restaurant']	Slotsgade 2, st. sal. th	3400	Hillerød	12.3022451	55.9293365
6662	Surt & Sødt ApS	Restaurant	['Restaurant']	Nybrogade 2	4900	Nakskov	11.1400080	54.8292885
6663	Kiin Kiin Strandvejen	Restaurant	['Restaurant']	Strandvejen 221A	2900	Hellerup	12.5803413	55.7428093
6664	Arenfeldt - Jyllingevej ApS	Restaurant	['Restaurant']	Jyllingevej 166	2610	Rødovre	12.4628487	55.6924629
6665	Gruppo Il Locale Holding ApS	Restaurant	['Restaurant']	Frydenlunds Alle 13A	2950	Vedbæk	12.5579128	55.8410912
6666	Inekci ApS	Restaurant	['Restaurant']	Egedal Centret 117	3660	Stenløse	12.1900616	55.7676964
6667	Meat-Point ApS	Restaurant	['Restaurant']	Nørregade 31	4100	Ringsted	11.7888441	55.4478722
6668	Vandkunsten Sandwich Rådhusstræde	Restaurant	['Restaurant']	Rådhusstræde 17	1466	København K	12.5748596	55.6762466
