	name	query	labels	address	postal no.	postal name	coord. x	coord. y
0	Sundby Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 25	2300	København S	12.5857124	55.6451988
1	Bella Center Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 39	2300	København S	12.5829163	55.6380959
2	Vestamager Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 99	2300	København S	12.5756006	55.6193924
3	DR-Byen Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 21	2300	København S	12.5889711	55.6559563
4	Ørestad Station	Metrostationer	['Togstationer', 'Metrostationer']	Ørestads Boulevard 89	2300	København S	12.5793886	55.6290970
5	Ørestad Station, Metro	Metrostationer	['Metrostationer']	Ørestads Boulevard 91	2300	København S	12.5789404	55.6285057
6	Gammel Strand Station	Metrostationer	['Metrostationer']	Gammel Strand 1	1202	København K	12.5795650	55.6778145
7	Frederiksberg Allé Station	Metrostationer	['Metrostationer']	Frederiksberg Alle 41B	1820	Frederiksberg C	12.5406933	55.6736794
8	Nørrebros Runddel Station	Metrostationer	['Metrostationer']	Nørrebros Runddel 1	2200	København N	12.5487995	55.6940498
9	Lindevang Station	Metrostationer	['Metrostationer']	Dalgas Boulevard 142	2000	Frederiksberg	12.5127335	55.6835289
10	Rådhuspladsen Station	Metrostationer	['Metrostationer']	Rådhuspladsen 3	1550	København V	12.5682383	55.6761093
11	Aksel Møllers Have Station	Metrostationer	['Metrostationer']	Godthåbsvej 31	2000	Frederiksberg	12.5331831	55.6863747
12	Fasanvej Station	Metrostationer	['Metrostationer']	Nordre Fasanvej 26D	2000	Frederiksberg	12.5228205	55.6815414
13	Christianshavn Station	Metrostationer	['Metrostationer']	Torvegade 44	1400	København K	12.5911236	55.6722450
14	Frederiksberg Station	Metrostationer	['Metrostationer']	Solbjergvej 2D	2000	Frederiksberg	12.5323954	55.6813087
15	Københavns Hovedbanegård Station, Metro	Metrostationer	['Metrostationer']	Stampesgade 1	1702	København V	12.5641994	55.6713371
16	Nørrebro Station, Metro	Metrostationer	['Metrostationer']	Folmer Bendtsens Plads 19	2200	København N	12.5381498	55.7005959
17	Femøren Station	Metrostationer	['Metrostationer']	Hedegaardsvej 50	2300	København S	12.6382847	55.6453438
18	Østerport Station, Metro	Metrostationer	['Metrostationer']	Oslo Plads 14	2100	København Ø	12.5859890	55.6930847
19	Poul Henningsens Plads Station	Metrostationer	['Metrostationer']	Jagtvej 227A	2100	København Ø	12.5766888	55.7092056
20	Trianglen Station	Metrostationer	['Metrostationer']	Trianglen 8	2100	København Ø	12.5761585	55.6991768
21	Skjolds Plads Station	Metrostationer	['Metrostationer']	Haraldsgade 2A	2200	København N	12.5482931	55.7032433
22	Enghave Plads Station	Metrostationer	['Metrostationer']	Enghave Plads 4A	1670	København V	12.5473309	55.6673470
23	Forum Station	Metrostationer	['Metrostationer']	Rosenørns Alle 17	1970	Frederiksberg C	12.5530424	55.6816788
24	Flintholm Station	Metrostationer	['S-togsstationer', 'Metrostationer']	Flintholm Alle 55	2000	Frederiksberg	12.4991627	55.6851768
25	Amagerbro Station	Metrostationer	['Metrostationer']	Amagerbro Torv 1	2300	København S	12.6027012	55.6635437
26	Øresund Station	Metrostationer	['Metrostationer']	Øresundsvej 146	2300	København S	12.6287146	55.6614418
27	Kongens Nytorv Station	Metrostationer	['Metrostationer']	Kongens Nytorv 21E	1050	København K	12.5848999	55.6801224
28	Marmorkirken Station	Metrostationer	['Metrostationer']	Store Kongensgade 84B	1264	København K	12.5887051	55.6852608
29	Islands Brygge Station	Metrostationer	['Metrostationer']	Njalsgade 70	2300	København S	12.5852613	55.6635475
30	Nørreport Station, Metro	Metrostationer	['Togstationer', 'Metrostationer']	Frederiksborggade 13	1360	København K	12.5715685	55.6836586
31	Kastrup Station	Metrostationer	['Metrostationer']	Ved Stationen 1	2770	Kastrup	12.6469202	55.6357384
32	Lufthavnen Station	Metrostationer	['Metrostationer']	Ellehammersvej 22	2770	Kastrup	12.6498823	55.6301422
33	Vibenshus Runddel Station	Metrostationer	['Metrostationer']	Jagtvej 180	2100	København Ø	12.5639906	55.7063560
34	Nuuks Plads Station	Metrostationer	['Metrostationer']	Rantzausgade 75	2200	København N	12.5428810	55.6887970
35	Vanløse Station	Metrostationer	['S-togsstationer', 'Metrostationer']	Jernbane Allé 46	2720	Vanløse	12.4907398	55.6872787
36	Lergravsparken Station	Metrostationer	['Metrostationer']	Østrigsgade 61	2300	København S	12.6166735	55.6621704
37	Amager Strand Station	Metrostationer	['Metrostationer']	Italiensvej 72A	2300	København S	12.6317797	55.6562653
38	Østerbjerg Station	Togstationer	['Togstationer']	Torupvejen 75	3390	Hundested	11.9123478	55.9760971
39	Slagelse Station	Togstationer	['Togstationer']	Sdr.Stationsvej 28	4200	Slagelse	11.3481359	55.4071999
40	Kalundborg Station	Togstationer	['Togstationer']	Banegårdspladsen 2	4400	Kalundborg	11.0888433	55.6777229
41	DSB Rejser Ringsted	Togstationer	['Jernbaneselskaber', 'Togstationer']	Jernbanevej 1	4100	Ringsted	11.7864714	55.4383888
42	DSB S-Tog København - Reventlowsgade 7	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Reventlowsgade 7	1651	København V	12.5639992	55.6723022
43	Ishøj Station	Togstationer	['Togstationer']	Vejlebrovej 35	2635	Ishøj	12.3581657	55.6133156
44	Nykøbing F. Station	Togstationer	['Togstationer']	Banegårdspladsen 2	4800	Nykøbing F	11.8773842	54.7670517
45	Københavns Lufthavn Kastrup	Togstationer	['Togstationer']	Lufthavnsboulevarden 6	2770	Kastrup	12.6393652	55.6295090
46	Ballerup Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Banegårdspladsen 3	2750	Ballerup	12.3591747	55.7295647
47	Buddinge Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Buddingevej 270	2860	Søborg	12.4943419	55.7471390
48	Korsør Station	Togstationer	['Togstationer']	Storebæltsvej 2	4220	Korsør	11.1353312	55.3568382
49	Nørreport Station	Togstationer	['Togstationer', 'S-togsstationer']	Nørre Voldgade 13	1358	København K	12.5701408	55.6820412
50	Københavns Hovedbanegård	Togstationer	['Togstationer', 'S-togsstationer']	Bernstorffsgade 16	1577	København V	12.5660114	55.6727333
51	Lyngby Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Jernbanepladsen 47	2800	Kongens Lyngby	12.5029335	55.7686195
52	Valby Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Mellemtoftevej 1A	2500	Valby	12.5144291	55.6640282
53	Næstved Station	Togstationer	['Togstationer']	Banegårdspladsen 2	4700	Næstved	11.7670279	55.2311859
54	Holbæk Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Jernbaneplads 7	4300	Holbæk	11.7086859	55.7156487
55	Ringsted Station	Togstationer	['Togstationer']	Jernbanevej 1	4100	Ringsted	11.7864714	55.4383888
56	Høje Taastrup Station	Togstationer	['Togstationer', 'S-togsstationer']	Banestrøget 5	2630	Taastrup	12.2693377	55.6483650
57	Brede Station	Togstationer	['Togstationer']	I.C.Modewegs Vej 8	2800	Kongens Lyngby	12.5007553	55.7937164
58	Kagerup Station	Togstationer	['Togstationer']	Kagerup Stationsvej 58	3200	Helsinge	12.2858295	55.9975471
59	Ravnholm Station	Togstationer	['Togstationer']	Nymøllevej 57	2800	Kongens Lyngby	12.5200882	55.8021736
60	Kregme Station	Togstationer	['Togstationer']	Frederikssundsvej 40	3300	Frederiksværk	12.0473890	55.9346733
61	Fuglevad Station	Togstationer	['Togstationer']	Skovbrynet 100	2800	Kongens Lyngby	12.4982281	55.7841263
62	Lyngby Lokal Station	Togstationer	['Togstationer']	Toftebæksvej 22	2800	Kongens Lyngby	12.5053234	55.7746620
63	Vejby Station	Togstationer	['Togstationer']	Stationsvej 30	3210	Vejby	12.1360493	56.0626907
64	Ørholm Station	Togstationer	['Togstationer']	Ørholm Stationsvej 1	2800	Kongens Lyngby	12.5069170	55.7998962
65	Eskilstrup Station	Togstationer	['Togstationer']	Eskilstrup Jernbanegade 2	4863	Eskilstrup	11.8856592	54.8560944
66	Vedde Station	Togstationer	['Togstationer']	Sværdsholtevej 10B	4295	Stenlille	11.5470600	55.5323143
67	Hedehusene Station	Togstationer	['Togstationer']	Hovedgaden 437C	2640	Hedehusene	12.1972780	55.6489601
68	Ll. Linde Station	Togstationer	['Togstationer']	Lundevej 10	4652	Hårlev	12.2195940	55.3364906
69	Søllested Station	Togstationer	['Togstationer']	Jernbanegade 2	4920	Søllested	11.2702045	54.8110085
70	Kildekrog Trinbræt	Togstationer	['Godsterminaler mv.', 'Togstationer']	Kildekrogen 	3100	Hornbæk	12.4235611	56.0925713
71	Næstved Nord Station	Togstationer	['Togstationer']	Skovalle 4	4700	Næstved	11.7860804	55.2481384
72	Dyssekilde Station	Togstationer	['Togstationer']	Stationsvej 1	3390	Hundested	11.9423733	55.9852066
73	Hanehoved Station	Togstationer	['Togstationer']	Hanehovedvej 900	3300	Frederiksværk	11.9950981	55.9724808
74	Gribsø Station	Togstationer	['Togstationer']	Nordre Jernbanevej 31	3400	Hillerød	12.3105106	55.9291115
75	St. Merløse Station	Togstationer	['Togstationer']	Banevej 1A	4370	Store Merløse	11.7114201	55.5449295
76	Egøje Station	Togstationer	['Togstationer']	Billesborgvej 49D	4600	Køge	12.1906347	55.4244308
77	Asnæs Station	Togstationer	['Togstationer']	Rådhusvej 25	4550	Asnæs	11.5000858	55.8087578
78	Horneby Sand Station	Togstationer	['Godsterminaler mv.', 'Togstationer']	Tennisvej 	3100	Hornbæk	12.4339695	56.0880852
79	Hørve Station	Togstationer	['Togstationer']	Hørve Stationsvej 9	4534	Hørve	11.4560900	55.7525482
80	Snekkersten Station	Togstationer	['Togstationer']	Nørrevej 93	3070	Snekkersten	12.5813398	56.0094757
81	Jyderup Station	Togstationer	['Togstationer']	Skarridsøgade 40	4450	Jyderup	11.3979921	55.6601639
82	Nærum Station	Togstationer	['Togstationer']	Langebjerg 1	2850	Nærum	12.5280237	55.8141365
83	Nakskov Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Nørrevold 29	4900	Nakskov	11.1384401	54.8332176
84	Øster Toreby Trinbræt	Togstationer	['Godsterminaler mv.', 'Togstationer']	Linde Alle 27	4800	Nykøbing F	11.8360662	54.7596169
85	Kokkedal Station	Togstationer	['Togstationer']	Kokkedal Stationsvej 6	2970	Hørsholm	12.5021029	55.9034462
86	Klampenborg Station	Togstationer	['Togstationer', 'S-togsstationer']	Dyrehavevej 1	2930	Klampenborg	12.5874310	55.7775040
87	Glumsø Station	Togstationer	['Togstationer']	Stationsvej 9A	4171	Glumsø	11.6954136	55.3535423
88	Grubberholm Station	Togstationer	['Togstationer']	Skovbovej 22	4652	Hårlev	12.2036171	55.3805275
89	Hundested Havn Station	Togstationer	['Togstationer']	Amtsvejen 2	3390	Hundested	11.8460035	55.9659081
90	Skævinge Station, Lokalbanen	Togstationer	['Togstationer']	Jernbanevej 14	3320	Skævinge	12.1490498	55.9075737
91	Vinge Station	Togstationer	['Togstationer', 'S-togsstationer']	Dalvejen 8	3600	Frederikssund	12.1156149	55.8106346
92	Gislinge Station	Togstationer	['Togstationer']	Stationsvej 2	4532	Gislinge	11.5469170	55.7296867
93	Haslev Station	Togstationer	['Togstationer']	Stationspladsen 1	4690	Haslev	11.9609861	55.3293457
94	Kvistgård Station	Togstationer	['Togstationer']	Kvistgård Stationsv 12	3490	Kvistgård	12.5029240	55.9903908
95	Ørby Station	Togstationer	['Togstationer']	Åmosevejen 6	3210	Vejby	12.1626778	56.0556755
96	Tureby Station	Togstationer	['Togstationer']	Turebyvej 6	4682	Tureby	12.0760622	55.3732300
97	Maribo Station	Togstationer	['Togstationer']	Banegårdspladsen 5	4930	Maribo	11.5015001	54.7766533
98	Hellebæk Station	Togstationer	['Togstationer']	Hellebæk Stationsvej 	3150	Hellebæk	12.5544014	56.0666695
99	Saltrup Station	Togstationer	['Togstationer']	Boserupvej 13B	3230	Græsted	12.3219366	56.0544205
100	Mørdrup Station	Togstationer	['Togstationer']	Mørdrupvej 141	3060	Espergærde	12.5460262	55.9978104
101	Tokkerup Station	Togstationer	['Togstationer']	Bredevænget 1	4640	Faxe	12.1421270	55.2831154
102	Gedser Station	Togstationer	['Togstationer']	Stationsvejen 1	4874	Gedser	11.9293709	54.5753288
103	Helsingør Station	Togstationer	['Togstationer']	Stationspladsen 2	3000	Helsingør	12.6145306	56.0335350
104	Svebølle Station	Togstationer	['Togstationer']	Jernbanevej 13	4470	Svebølle	11.2916842	55.6522827
105	Ny Hagested Station	Togstationer	['Togstationer']	Ny Hagestedvej 28	4532	Gislinge	11.5940351	55.7287941
106	Løve Station	Togstationer	['Togstationer']	Stationsvej 9	4270	Høng	11.2853413	55.4826775
107	Stenhus Station	Togstationer	['Togstationer']	Stenhusvej 4	4300	Holbæk	11.6878033	55.7151604
108	Dybbølsbro Station	Togstationer	['Togstationer']	Ingerslevsgade 101	1705	København V	12.5584545	55.6649780
109	Mårum Station	Togstationer	['Togstationer']	Frederiksværksvej 135	3230	Græsted	12.3244772	56.0329208
110	Viby Sjælland Station	Togstationer	['Togstationer']	Søndergade 2	4130	Viby Sjælland	12.0244923	55.5496063
111	Hundested Station	Togstationer	['Togstationer']	Jernbanegade 8	3390	Hundested	11.8524456	55.9638405
112	Bagmarken Station	Togstationer	['Togstationer']	Bagmarken 58	4370	Store Merløse	11.6863699	55.5437050
113	Grønnehave Station	Togstationer	['Togstationer']	Nordlysvænget 10	3000	Helsingør	12.6111517	56.0404015
114	Holme-Olstrup Station	Togstationer	['Togstationer']	Petersmindevej 118A	4684	Holmegaard	11.8490133	55.2610359
115	Højstrup Station	Togstationer	['Togstationer']	Blokhusvej 	3000	Helsingør	12.5949059	56.0469933
116	Slotspavillonen Station	Togstationer	['Togstationer']	Holmegårdsvej 64	3400	Hillerød	12.3107290	55.9425125
117	Vig Station	Togstationer	['Togstationer']	Vig Stationsvej 2C	4560	Vig	11.5819016	55.8525276
118	Orehoved Station	Togstationer	['Togstationer']	Orehoved Stationsvej 7	4840	Nørre Alslev	11.8677816	54.9390564
119	Sommerland Sj. Station	Togstationer	['Togstationer']	Gl Nykøbingvej 169A	4572	Nørre Asmindrup	11.6124601	55.8949814
120	Vallø Station	Togstationer	['Togstationer']	Vedskøllevej 104	4600	Køge	12.1923094	55.4003372
121	Nivå Station	Togstationer	['Togstationer']	Niverødvej 4	2990	Nivå	12.5066090	55.9333267
122	Havdrup Station	Togstationer	['Togstationer']	Stationspladsen 3	4622	Havdrup	12.1170149	55.5434494
123	Espergærde Station	Togstationer	['Togstationer']	Kløvermarken 3	3060	Espergærde	12.5492249	55.9952888
124	Vipperød Station	Togstationer	['Togstationer']	Stationsvej 3	4390	Vipperød	11.7386065	55.6669388
125	Dronningmølle Station	Togstationer	['Togstationer']	Dr Mølle Stationsvej 2	3120	Dronningmølle	12.3874569	56.0978165
126	Vordingborg Station	Togstationer	['Togstationer']	Banegårdspladsen 4	4760	Vordingborg	11.9001646	55.0126114
127	Sorø Station	Togstationer	['Togstationer']	Stationspladsen 1	4180	Sorø	11.5684357	55.4193993
128	Herfølge station DSB	Togstationer	['Togstationer']	Stationsvej 16	4681	Herfølge	12.1372204	55.4176865
129	Grønholt Station	Togstationer	['Togstationer']	Grønholtvangen 30	3480	Fredensborg	12.3694878	55.9530602
130	Varpelev Station	Togstationer	['Togstationer']	Bækkemosevej 1	4652	Hårlev	12.2802820	55.3523178
131	Hvalsø Station	Togstationer	['Togstationer']	Tølløsevej 1A	4330	Hvalsø	11.8594198	55.5954742
132	Mørkøv Station	Togstationer	['Togstationer']	Jernbanevej 1	4440	Mørkøv	11.5018597	55.6543770
133	Hellerup Station	Togstationer	['Togstationer', 'S-togsstationer']	Ryvangs Allé 79	2900	Hellerup	12.5677099	55.7304993
134	Sakskøbing Station	Togstationer	['Togstationer']	Jernbanegade 2	4990	Sakskøbing	11.6354055	54.7967033
135	Himlingøje Station	Togstationer	['Togstationer']	Himlingøje Trinbræt 1	4652	Hårlev	12.2157516	55.3724785
136	Søborg Station	Togstationer	['Togstationer']	Hillerødvejen 65X	3250	Gilleleje	12.3339338	56.1005058
137	Karinebæk Trinbræt	Togstationer	['Godsterminaler mv.', 'Togstationer']	Carl Bødker Nielsens Vej 	3100	Hornbæk	12.4633408	56.0799980
138	Ruds Vedby Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Jernbanegade 9	4291	Ruds Vedby	11.3751049	55.5400505
139	Helsingør Rejsecenter	Togstationer	['Jernbaneselskaber', 'Togstationer']	Stationspladsen 2	3000	Helsingør	12.6145306	56.0335350
140	Nyled Station	Togstationer	['Togstationer']	Vesterbro 53	4500	Nykøbing Sj	11.6567469	55.9218636
141	Kirke Eskildstrup Station	Togstationer	['Togstationer']	Stationsvej 4A	4360	Kirke Eskilstrup	11.7649612	55.5740433
142	Græsted Station	Togstationer	['Togstationer']	Græsted Stationsvej 84A	3230	Græsted	12.2865543	56.0725746
143	Vibehus Station	Togstationer	['Togstationer']	Frederiksværkvej 133	3390	Hundested	11.8731136	55.9601707
144	Solrød Strand Station	Togstationer	['Togstationer']	Solrød Center 47	2680	Solrød Strand	12.2184181	55.5332451
145	Jægersborg Station, Nærumbanen	Togstationer	['Togstationer']	Jægersborg Station 1	2820	Gentofte	12.5216541	55.7615929
146	Duemose Station	Togstationer	['Togstationer']	Ny Mårumvej 296	3200	Helsinge	12.2623081	56.0093536
147	Fårevejle Station	Togstationer	['Togstationer']	Fårevejle Stationsv. 35	4540	Fårevejle	11.4695110	55.7881737
148	Lejre Station	Togstationer	['Togstationer']	Stationsvej 2	4320	Lejre	11.9713974	55.6046562
149	Lille Kregme Station	Togstationer	['Togstationer']	Lille Kregmevej 22	3300	Frederiksværk	12.0356245	55.9458542
150	Svinninge Station	Togstationer	['Togstationer']	Stationen 2	4520	Svinninge	11.4670734	55.7233047
151	Laugø Station	Togstationer	['Togstationer']	Kurrebrovej 16X	3200	Helsinge	12.1831856	56.0390015
152	Lokaltog Frederiksværk Station, billetsalg	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Stationspladsen 1	3300	Frederiksværk	12.0195808	55.9685555
153	Ølsted Station	Togstationer	['Togstationer']	Ølsted Stationsvej 1	3310	Ølsted	12.0731792	55.9230309
154	Stenlille Station	Togstationer	['Togstationer']	Stationsvej 1	4295	Stenlille	11.5914593	55.5389862
155	Nykøbing Sj Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Jernbanevej 6	4500	Nykøbing Sj	11.6728973	55.9217300
156	Hornbæk Station	Togstationer	['Togstationer']	Hornbæk Stationsvej 6	3100	Hornbæk	12.4594011	56.0892982
157	Nordhavn Station	Togstationer	['S-togsstationer', 'Togstationer']	Østbanegade 120	2100	København Ø	12.5911169	55.7046890
158	Gilleleje Øst Station	Togstationer	['Togstationer']	Rostgårdsvej 3A	3250	Gilleleje	12.3091602	56.1225548
159	Faxe Syd Station	Togstationer	['Togstationer']	Søndergårdsvej 2	4640	Faxe	12.1375847	55.2421303
160	Helsinge Station	Togstationer	['Togstationer']	Stationspladsen 1	3200	Helsinge	12.2051506	56.0230217
161	Højby Station	Togstationer	['Togstationer']	Højby Stationsvej 3	4573	Højby	11.6035042	55.9107399
162	Skodsborg Station	Togstationer	['Togstationer']	Bøllemosevej 4	2942	Skodsborg	12.5711422	55.8234253
163	Rungsted Kyst Station	Togstationer	['Togstationer']	Vestre Stationsvej 7	2960	Rungsted Kyst	12.5313292	55.8821259
164	Hårlev Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Hårlev Stationsvej 2	4652	Hårlev	12.2267914	55.3502426
165	Humlebæk Station	Togstationer	['Togstationer']	Hal Kochs Vej 14	3050	Humlebæk	12.5334158	55.9636803
166	Faxe Ladeplads Station	Togstationer	['Togstationer']	Postvej 3	4654	Faxe Ladeplads	12.1620569	55.2170868
167	Rødby Færge Station	Togstationer	['Togstationer']	Færgestationsvej 5	4970	Rødby	11.3539486	54.6544037
168	Brødeskov Station	Togstationer	['Togstationer']	Stationsvej 1	3400	Hillerød	12.2797623	55.8934860
169	Høng Station	Togstationer	['Togstationer']	Jernbanevej 6	4270	Høng	11.2860317	55.5069237
170	Dianalund Station	Togstationer	['Togstationer']	Stationsvej 3	4293	Dianalund	11.5001087	55.5338211
171	Rødvig Station	Togstationer	['Togstationer']	Østersøvej 6	4673	Rødvig Stevns	12.3787727	55.2548180
172	Lundby Station	Togstationer	['Togstationer']	Banevej 3	4750	Lundby	11.8695145	55.1106262
173	Græsted Syd Station	Togstationer	['Togstationer']	Holtvej 8	3230	Græsted	12.2956057	56.0631180
174	Avnede Station	Togstationer	['Togstationer']	Meltoftevej 19	4900	Nakskov	11.2151794	54.8290253
175	Godhavn Station	Togstationer	['Togstationer']	Godhavnsvej 1D	3220	Tisvildeleje	12.0977411	56.0599136
176	Køge Station	Togstationer	['Togstationer', 'S-togsstationer']	Jernbanegade 12	4600	Køge	12.1843128	55.4576035
177	Karise Station	Togstationer	['Togstationer']	Banevej 2	4653	Karise	12.1968937	55.3074265
178	HHG-Banen, Ålsgårde Station	Togstationer	['Togstationer']	Ålsgårde Stationsvej 1	3140	Ålsgårde	12.5384359	56.0751495
179	Klippinge Station	Togstationer	['Togstationer']	Stationsvej 14	4672	Klippinge	12.3252831	55.3464012
180	Fredensborg Station	Togstationer	['Togstationer']	Stationsvej 2	3480	Fredensborg	12.4068680	55.9772339
181	Firhøj Station	Togstationer	['Togstationer']	Firhøjvej 66	3250	Gilleleje	12.3546991	56.0981255
182	Holløse Station	Togstationer	['Togstationer']	Holløse Gade 50X	3210	Vejby	12.1172810	56.0595284
183	Trekroner Station	Togstationer	['Togstationer']	Trekroner Centervej 50	4000	Roskilde	12.1321859	55.6482239
184	Melby Station	Togstationer	['Togstationer']	Melby Stationsvej 1A	3370	Melby	11.9712086	55.9915237
185	Saunte Station	Togstationer	['Godsterminaler mv.', 'Togstationer']	Saunte Stationsvej 2	3100	Hornbæk	12.4839182	56.0767593
186	Pårup Station	Togstationer	['Togstationer']	Ålekistevej 73	3250	Gilleleje	12.3013620	56.1007233
187	Roskilde Station	Togstationer	['Togstationer']	Jernbanegade 1	4000	Roskilde	12.0888109	55.6392136
188	Fjellenstrup Station	Togstationer	['Togstationer']	Parkvej 	3250	Gilleleje	12.3079338	56.1173592
189	Nørre Alslev Station	Togstationer	['Togstationer']	Stationspladsen 3	4840	Nørre Alslev	11.8855505	54.8969002
190	Knabstrup Station	Togstationer	['Togstationer']	Stationsvej 2	4440	Mørkøv	11.5552139	55.6651154
191	Nørgaardsvej Station	Togstationer	['Togstationer']	Nørgaardsvej 45	2800	Kongens Lyngby	12.5133619	55.7704926
192	Gørløse station	Togstationer	['Togstationer']	Stationsvej 19A	3330	Gørløse	12.2027931	55.8868027
193	Grevinge Station	Togstationer	['Togstationer']	Grevinge Stationsvej 1	4571	Grevinge	11.5514221	55.8028564
194	Grænge Station	Togstationer	['Togstationer']	Grænge Skovvej 87A	4891	Toreby L	11.7652626	54.7738991
195	Grimstrup Station	Togstationer	['Togstationer']	Grimstrupvej 96	3310	Ølsted	12.1025267	55.9155998
196	Store-Heddinge Station	Togstationer	['Togstationer']	Jernbanegade 10	4660	Store Heddinge	12.3859243	55.3100815
197	Kratbjerg Station	Togstationer	['Togstationer']	Kratbjerg 339	3480	Fredensborg	12.3920536	55.9664497
198	Gilleleje Station	Togstationer	['Togstationer']	Gilleleje Stationsvej 10	3250	Gilleleje	12.3029881	56.1237221
199	Tisvildeleje Station	Togstationer	['Togstationer']	Banevej 8	3220	Tisvildeleje	12.0777664	56.0592995
200	Ryde Station	Togstationer	['Togstationer']	Ryde Stationsvej 1	4930	Maribo	11.3731928	54.7845459
201	Tølløse Station	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Jernbanevej 17	4340	Tølløse	11.7727833	55.6119843
202	Nyrup Station	Togstationer	['Togstationer']	Banevej 10	4296	Nyrup	11.6528502	55.5424538
203	Lille Skensved Station	Togstationer	['Togstationer']	Ved Banen 1	4623	Lille Skensved	12.1402826	55.5113792
204	Stæremosen Station	Togstationer	['Togstationer']	Stæremosen 	3250	Gilleleje	12.3218689	56.1122360
205	Marienlyst Station	Togstationer	['Togstationer']	Strandalleen 	3000	Helsingør	12.6036921	56.0435562
206	Charlottenlund Station	Togstationer	['Togstationer']	Charlottenlund Stationsplads 2	2920	Charlottenlund	12.5719652	55.7517662
207	Hillerød Station	Togstationer	['Togstationer', 'S-togsstationer']	Nordre Jernbanevej 37	3400	Hillerød	12.3106155	55.9270935
208	Gadstrup Station	Togstationer	['Togstationer']	Stationsvej 1	4621	Gadstrup	12.0994415	55.5727921
209	Borup station	Togstationer	['Togstationer']	Hovedgaden 15	4140	Borup	11.9724903	55.4946480
210	Skellebjerg Station	Togstationer	['Togstationer']	Banevej 17	4293	Dianalund	11.4487925	55.5379372
211	Vedbæk Station	Togstationer	['Togstationer']	Vedbæk Stationsvej 20	2950	Vedbæk	12.5629454	55.8529434
212	Regstrup Station	Togstationer	['Togstationer']	Hovedgaden 111	4420	Regstrup	11.6127300	55.6774673
213	Ordrup Station	Togstationer	['Togstationer']	Schioldannsvej 21	2920	Charlottenlund	12.5829573	55.7637520
214	Nr. Asmindrup Station	Togstationer	['Togstationer']	Jernbanevej 2	4572	Nørre Asmindrup	11.6063662	55.8830566
215	Vallensbæk Station	S-togsstationer	['S-togsstationer']	Vallensbæk Stationstorv 68	2665	Vallensbæk Strand	12.3878641	55.6234055
216	Bispebjerg Station	S-togsstationer	['S-togsstationer']	Tagensvej 147	2400	København NV	12.5410490	55.7069283
217	DSB S-Tog Klampenborg	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Dyrehavevej 1	2930	Klampenborg	12.5874310	55.7775040
218	DSB S-Tog Køge - Slagterivej 15	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Slagterivej 9	4600	Køge	12.1864653	55.4624100
219	DSB S-Tog København - Bernstorffsgade 24	S-togsstationer	['S-togsstationer', 'Passagertransport, regionaltog, fjerntog', 'Jernbaneselskaber']	Bernstorffsgade 24	1577	København V	12.5669937	55.6718140
220	DSB S-Tog Taastrup - Depotvej 15	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Depotvej 15	2630	Taastrup	12.2851753	55.6514931
221	DSB S-Tog Frederikssund - Baneledet 3	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Marbækvej 5	3600	Frederikssund	12.0672398	55.8326530
222	DSB S-Tog Hillerød, Carlsbergvej 34	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Carlsbergvej 34	3400	Hillerød	12.3124580	55.9255371
223	DSB S-Tog Ishøj - Vejlebrovej 15	S-togsstationer	['S-togsstationer', 'Jernbaneselskaber']	Vejlebrovej 15	2635	Ishøj	12.3471537	55.6052513
224	Jægersborg Station	S-togsstationer	['S-togsstationer']	Jægersborg Station 1	2820	Gentofte	12.5216541	55.7615929
225	Frederikssund Station	S-togsstationer	['S-togsstationer', 'Turistkørsel']	Jernbanegade 46H	3600	Frederikssund	12.0678968	55.8332787
226	Hundige Station	S-togsstationer	['S-togsstationer']	Hundige Stationsvej 2	2670	Greve	12.3313198	55.5965919
227	Farum Station	S-togsstationer	['S-togsstationer']	Frederiksborgvej 8F	3520	Farum	12.3746881	55.8120003
228	Husum Station	S-togsstationer	['S-togsstationer']	Islevhusvej 40	2700	Brønshøj	12.4639921	55.7094955
